CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available, list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS, FACT SHEETS",,,,,,,,,,,,,,,,,
Bristol,"1 Main St, Bristol, VT 05443",Main Street/VT 116,"New sidewalk on east side, curb on west side. Upgraded lighting. Realized concurrent with repaving project",1,2020,"$327,159","DTF 2018 ($100,000)",Bristol CORE,https://bristolvt.org/paving-lighting-sidewalk-project/?fbclid=IwZXh0bgNhZW0CMTAAAR1y70Fz1TI489KUp5zLmJXZqncggHTQ5wcbpjWzbAqwus6AZlKOGLaQDpQ_aem_JghaTUd-1-xccx4LH8q7KA,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=18V187,,,,,,,,,,,,,,,,
Middlebury,,,EZ Trip microtransit,,2024,,"MTI 2024 ($10,914)",Tri Valley Transit,https://www.trivalleytransit.org/ez-trip-middlebury/,,,,,,,,,,,,,,,,,
Middlebury,,Merchants Row,Pedestrian improvements as part of rail tunnel replacement and repaving,,2021,,,"VTrans, Town of Middlebury",https://vtrans.vermont.gov/projects/middlebury,https://dacollinscompanies.com/experience/middlebury-bridge-and-rail-project/,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=13g542,,,,,,,,,,,,,,,
Middlebury,"20 VT-30, Middlebury, VT 05753",Printers Alley,Sidewalk connectivity between Main Street and Marble Works,1,2021,,,VTrans,,,,,,,,,,,,,,,,,,
Middlebury,"141 Weybridge St, Middlebury, VT 05753",Seymour St. & Webridge St.,Installation of flashing beacons,1,2019,,,ACRPC,,,,,,,,,,,,,,,,,,
Middlebury,"101 Seymour St, Middlebury, VT 05753",Seymour St.,Sidewalk realignment and extension,1,2021,,,VTrans,,,,,,,,,,,,,,,,,,
Middlebury-Weybridge,,Seymour St.,sidewalk,1,2020,"$735,455",TKTK,ACRPC,,,,,,,,,,,,,,,,,,
Vergennes,"210 Main St, Vergennes, VT 05491",Main Street/VT 22A,"Sidewalk extension, new sidewalks and crosswalks",1,2023,"$446,220","BP 2019 ($202,000)",ACRPC,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19F452,,,,,,,,,,,,,,,,,
Vergennes,,Main Street/VT 22A,"Pedestrian improvements as part of Class 1 paving project, including upgrading sidewalk ramps and crossing infrastructure to comply with ADA",,2020,,,VTrans,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=18V191,,,,,,,,,,,,,,,,,
Vergennes,"179 Main St, Vergennes, VT 05491",Triangle Bike Loop,"Triangle Bike Loop wayfinding signs, part of multi-town bike route using local roads",2,2024,"$23,393","BP 2022 ($11,152)","ACRPC, Local group: Walk-Bike Council of Addison County",https://www.walkbikeaddison.org/triangle_bike_loop,,,,,,,,,,,,,,,,,
Bennington,"23 Orchard Rd, Bennington, VT 05201",From Depot St to Emma Street,"Bennington Rail Trail: multi-use path paved from parking area on Depot Street to intersection with Orchard Road, packed gravel surface path to Emma Street",3,2022,,,,,,,,,,,,,,,,,,,,,
Bennington,"10 Kocher Dr, Bennington, VT 05201",Kocher Drive and East Road,"Willow Park Paths: multi-use path from Aldi/CVS plaza connecting to East Road path, inc new crosswalk",3,2020,,,,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,https://mskeng.com/portfolio-items/kocher-drive-mixed-use-path-in-bennington-vt/,,,,,,,,,,,,,,,,
Bennington,"Applegate Housing Inc, 87 Applegate Dr, Bennington, VT 05201",Willowbrook Apartments to Applegate Apartments,"ADA-compliant path connecting Willowbrook + Applegate apartment complexes, allowing pedestrian connection to schools & commercial corridor",3,2021,,STP BP(14)10 & TAP TA17(10),,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,https://mskeng.com/portfolio-items/applegate-willowbrook-path-in-bennington-vt/,,,,,,,,,,,,,,,,
Bennington,"128 Franklin Ln, Bennington, VT 05201",Franklin Lane,"Street redesign to calm traffic, make more pedestrian friendly, inc a curved driving surface, planters, proximity to pedestrians",1,2022,"$126,000","DTF 2020 ($50,000)",,,,,,,,,,,,,,,,,,,
Manchester,"691 Depot St, Manchester Center, VT 05255",Depot Street,"Reconfiguring street, including new bike lane",2,2019,,,,,,,,,,,,,,,,,,,,,
Manchester,"57 Seminary Ave, Manchester, VT 05254",Burr and Burton Academy,Sidewalk project,1,2023,,,,,,,,,,,,,,,,,,,,,
Rupert,"2824 VT-153, West Rupert, VT 05776",,"Revitalization project, including improving walkability",1,,,,,https://centralvtplanning.org/wp-content/uploads/2021/05/VTPlannersAssoc_2021Awards_PressRelease.pdf,,,,,,,,,,,,,,,,,
Sunderland,"104 Mountain View Rd, Sunderland, VT 05250","Sunderland Hill Rd, from Dunham Rd to Town Office building","Bike/pedestrian lane on steep, winding road",3,2020,"$62,000","BP 2018 ($31,000)",Sunderland Safe Roads Committee,https://sunderlandvt.org/town-government/safe-roads/,,,,,,,,,,,,,,,,,
Burke,"638 VT-114, East Burke, VT 05832","VT 114, East Burke village","modern, 5 foot wide concrete sidewalks",1,2019,,,Town of Burke,https://nvda.net/files/rfp_burke.pdf,,,,,,,,,,,,,,,,,
