COUNTY,CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,PROJECT ELEMENTS (CODE),PROJECT FUNDING (CODE),YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS - FACT SHEETS",Unnamed: 13,Unnamed: 14,LON,LAT
Addison,Bristol,1 Main St; Bristol; VT 05443,Main Street/VT 116,New sidewalk on east side; curb on west side. Upgraded lighting. Realized concurrent with repaving project,1.0,Sidewalk; Repaving,DTF,2020,$327;159,DTF 2018 ($100;000),Bristol CORE,https://bristolvt.org/paving-lighting-sidewalk-project/?fbclid=IwZXh0bgNhZW0CMTAAAR1y70Fz1TI489KUp5zLmJXZqncggHTQ5wcbpjWzbAqwus6AZlKOGLaQDpQ_aem_JghaTUd-1-xccx4LH8q7KA,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=18V187,,-73.0785235,44.1329276
Addison,Middlebury,115 Porter Dr; Middlebury; VT 05753,,EZ Trip microtransit,,Transit,MTI,2024,,MTI 2024 ($10;914),Tri Valley Transit,https://www.trivalleytransit.org/ez-trip-middlebury/,,,-73.168423,43.9998607
Addison,Middlebury,24 Merchants Row; Middlebury; VT 05753,Merchants Row,Pedestrian improvements as part of rail tunnel replacement and repaving,,Sidewalk,,2021,,,VTrans; Town of Middlebury,https://vtrans.vermont.gov/projects/middlebury,https://dacollinscompanies.com/experience/middlebury-bridge-and-rail-project/,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=13g542,,
Addison,Middlebury,20 VT-30; Middlebury; VT 05753,Printers Alley,Sidewalk connectivity between Main Street and Marble Works. Part of rail tunnel replacement,1.0,Sidewalk,,2021,,,VTrans,,,,-73.1682885,44.0144662
Addison,Middlebury,141 Weybridge St; Middlebury; VT 05753,Seymour St. & Webridge St.,Installation of flashing beacons,1.0,Beacon,BP,2019,,BP 2012,ACRPC,,,,-73.1735962,44.0129334
Addison,Middlebury-Weybridge,101 Seymour St; Middlebury; VT 05753,Seymour St.,Sidewalk realignment and extension bewteen Middlebury and Weybridge. Built in 2020-21,1.0,Sidewalk,,2021,,,VTrans; ACRPC,,,,-73.175579,44.02378
Addison,Vergennes,210 Main St; Vergennes; VT 05491,Main Street/VT 22A,Sidewalk extension; new sidewalks and crosswalks,1.0,Sidewalk; Crosswalk,BP; Better Connections,2023,$446;220,BP 2019 ($202;000),ACRPC,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19F452,,,-73.252659,44.1678343
Addison,Vergennes,230 Main St; Vergennes; VT 05491,Main Street/VT 22A,Pedestrian improvements as part of Class 1 paving project; including upgrading sidewalk ramps and crossing infrastructure to comply with ADA,,Sidewalk,BP,2020,,,VTrans,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=18V191,,,-73.252996,44.167374
Addison,Vergennes,179 Main St; Vergennes; VT 05491,Triangle Bike Loop,Triangle Bike Loop wayfinding signs; part of multi-town bike route using local roads,2.0,Bike Lane,BP,2024,$23;393,BP 2022 ($11;152),ACRPC; Local group: Walk-Bike Council of Addison County,https://www.walkbikeaddison.org/triangle_bike_loop,,,-73.2515631,44.1678471
Bennington,Bennington,23 Orchard Rd; Bennington; VT 05201,From Depot St to Emma Street,Bennington Rail Trail: multi-use path paved from parking area on Depot Street to intersection with Orchard Road; packed gravel surface path to Emma Street. Part of a decades-long effort to build out a network of multi-use paths connecting Bennington.,3.0,Multi-use,,2022,,,,,,,-73.2035259,42.8976921
Bennington,Bennington,10 Kocher Dr; Bennington; VT 05201,Kocher Drive and East Road,Willow Park Paths: multi-use path from Aldi/CVS plaza connecting to East Road path; inc new crosswalk. Part of a decades-long effort to build out a network of multi-use paths connecting Bennington.,3.0,Multi-use,BP,2020,,BP 2018 ($120;000),,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,https://mskeng.com/portfolio-items/kocher-drive-mixed-use-path-in-bennington-vt/,,-73.2009247,42.8954607
Bennington,Bennington,Applegate Housing Inc; 87 Applegate Dr; Bennington; VT 05201,Willowbrook Apartments to Applegate Apartments,ADA-compliant path connecting Willowbrook + Applegate apartment complexes; allowing pedestrian connection to schools & commercial corridor. Part of a decades-long effort to build out a network of multi-use paths connecting Bennington.,3.0,Multi-use,BP; TAP,2021,,STP BP(14)10 & TAP TA17(10),,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,https://mskeng.com/portfolio-items/applegate-willowbrook-path-in-bennington-vt/,,,
Bennington,Bennington,128 Franklin Ln; Bennington; VT 05201,Franklin Lane,Street redesign to calm traffic; make more pedestrian friendly; inc a curved driving surface; planters; proximity to pedestrians,1.0,,DTF,2022,$126;000,DTF 2020 ($50;000),,,,,-73.1994478,42.8779774
Bennington,Manchester,691 Depot St; Manchester Center; VT 05255,Depot Street,Reconfiguring street; including new bike lane,2.0,Bike lane,BP,2019,,BP 2015,,,,,-73.0447906,43.1724864
Bennington,Manchester,57 Seminary Ave; Manchester; VT 05254,Burr and Burton Academy,Sidewalk project,1.0,Sidewalk,,2023,,,,,,,-73.0797475,43.1645751
Bennington,Rupert,2824 VT-153; West Rupert; VT 05776,,Revitalization project; including improving walkability,1.0,,,,,,,https://centralvtplanning.org/wp-content/uploads/2021/05/VTPlannersAssoc_2021Awards_PressRelease.pdf,,,-73.2395862,43.2450374
Bennington,Sunderland,104 Mountain View Rd; Sunderland; VT 05250,Sunderland Hill Rd; from Dunham Rd to Bacon Hollow Road,Installed a bike/pedestrian lane on steep; winding road from Dunham Rd to the Town Office Building. In 2024; the lane was extended to the intersection of Bacon Hollow Road and Sunderland Hill Road.,3.0,Multi-use,BP,2020,$62;000,BP 2018 ($31;000),Sunderland Safe Roads Committee,https://sunderlandvt.org/town-government/safe-roads/,,,,
Caledonia,Burke,638 VT-114; East Burke; VT 05832,VT 114; East Burke village,modern; 5 foot wide concrete sidewalks,1.0,Sidewalk,,2019,,,Town of Burke,https://nvda.net/files/rfp_burke.pdf,,,-71.941665,44.588558
Caledonia,Walden; Hardwick; Stannard; Greensboro,97 VT-15; West Danville; VT 05873,between West Danville and Morrisville ,Lamoille Valley Rail Trail: between West Danville and Morrisville; adding to earlier sections. The full 93-mile route was completed in 2023. ,3.0,Multi-use; Rec trail,Better Connections,2021,VTrans; Northeastern Vermont Development Association,,,https://www.v2v-danvillevt.org/about-the-project/,https://railtrails.vermont.gov/trails/lamoille-valley-rail-trail/,,-72.1966114,44.4096428
Caledonia,Hardwick,20 Church St; Hardwick; VT 05843,Church Street,Repaved sidewalk on north side of street to be a safer connection between town's public buildings,1.0,Sidewalk,BP,2022,$82;000,BP 2021 ($41;000),Town of Hardwick; Hardwick Pedestrian and Traffic Safety Task Force,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=21F104,https://railtrails.vermont.gov/trails/lamoille-valley-rail-trail/,,-72.3648312,44.5055378
Caledonia,Hardwick,9 S Main St; Hardwick; VT 05843,Village,Six high visibility crosswalks,1.0,Crosswalk,,2024,,,Town of Hardwick; Hardwick Pedestrian and Traffic Safety Task Force,https://hardwickgazette.org/2024/06/18/new-pedestrian-crosswalks-increase-visibility/,,,-72.3662847,44.5042733
Caledonia,Hardwick,124 S Main St; Hardwick; VT 05843,VT Rt 14; Main St and Wolcott St,Sidewalk ramps and crosswalks upgraded to meet ADA standards during repaving,1.0,Crosswalk; Repaving,,2022,,,VTrans,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19V425,https://hardwickvt.gov/wp-content/uploads/simple-file-list/Planning-Commission/2021-HPC-Meetings/June-8-2021-HPC-Minutes.pdf,,-72.3685202,44.5040441
Caledonia,St. Johnsbury,1097 Main St; St Johnsbury; VT 05819,Railroad Street,Installation of rectangular rapid flashing beacons at crosswalks,1.0,Beacon,,2022,,,Either town or St Johnsbury Academy (unclear),https://docs.stjvt.com/index.php/annualreport-3/grants-rfps/891-inspection-rfp-2022-03-28/file,,,-72.0198826,44.4162659
Caledonia,St. Johnsbury,299 Bay St; St Johnsbury; VT 05819,Bay St and Passumpsic river,Multi-use trail between Bay St and Passumpsic river,3.0,Multi-use,,2019,Town of St Johnsbury,,Town of St Johnsbury,,,,-72.0142903,44.4169733
Chittenden,Burlington,800 Pine St; Burlington; VT 05401,Birchcliff Parkway and Locust St,Champlain Elementary Pedestrian Crossing Improvements,1.0,Crosswalk,BP,2019,$504;000,BP 2013,Burlington Public Works,,https://www.facebook.com/BTVDPW/posts/busy-weekends-continue-before-the-snow-flies-heres-an-update-from-the-south-endo/10156306161695800/,,-73.2120572,44.4566341
Chittenden,Burlington,57 N Champlain St; Burlington; VT 05401,North Champlain,Bike lanes on Manhattan Drive (between Park St and Spring St); a two-way protected bike lane and quick-build curb extension on North Champlain Street (between Pearl St and Peru St); and protected bike lanes on Home Ave between Pine St and Shelburne St,,bike lane,BP,2025,,,,,,,-73.217679,44.482226
Chittenden,Burlington,645 Pine St # A; Burlington; VT 05401,Champlain Parkway/Pine Street,New shared use path along the Champlain Parkway and Pine Street. The new intersections on the Champlain Parkway give pedestrian right-of-way with no right on red for cars. The road is also marked for bikes.,,Multi-use; Crosswalk; Bike lane,,2025,,,Burlington Public Works,https://www.burlingtonvt.gov/CivicAlerts.aspx?AID=20,https://champlainparkway.com/map/,,,
Chittenden,Burlington,195 Colchester Ave; Burlington; VT 05401,East Avenue to South Prospect St,Colchester Avenue Sidepath; phase I & II: Extension & replacement of sidepath with 10' wide concrete bike & pedestrian path on south side of Colchester Avenue,3.0,Multi-use,BP,2020,$378;437,BP 2015,Burlington Public Works; CCRPC,https://www.burlingtonvt.gov/DPW/Colchester-Avenue-Sidepath,,,-73.1944774,44.4815365
Chittenden,Burlington,973 North Ave; Burlington; VT 05408,North Avenue ,5 new unsignalized crosswalks with flashing beacons at Ward Street; Killarney Drive / Village Green Drive; Poirier Place; Gosse Court; and Green Acres Drive / Cayuga Court,1.0,Crosswalk; Becaon,TAP,2019,,TAP 2015,Burlington Public Works; CCRPC,,,,-73.240493,44.5034088
Chittenden,Burlington,14 Heineberg Rd; Burlington; VT 05408,,New seating and accessibility at five bus stops near areas where older residents live,,Transit,AARP,2024,,AARP,GMT,https://livablemap.aarp.org/challenge-grantee/green-mountain-transit-authority-2024,,,-73.2479842,44.5100947
Chittenden,Burlington,126 Gosse Ct; Burlington; VT 05408,Schiffiliti Park; connecting James Avenue to Gosse Court,Shared Use Path by C.P. Smith Elementary School,3.0,Multi-use,TAP,2024,$373;160,TAP 2020 ($285;728),,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=20F134,https://www.burlingtonvt.gov/construction/projects,,-73.2466108,44.5130167
Chittenden,Burlington-South Burlington-Winooski,149 Church St; Burlington; VT 05401,,Bike-share program offering electric assist bikes around the Burlington area; operated by Bird,4.0,Bike share,,2023,,,CATMA,https://catmavt.org/bikeshare/,,,-73.2125648,44.4752675
Chittenden,Charlotte-South Burlington,3120-3476 Ethan Allen Hwy; Charlotte; VT 05445,Rt. 7 resurfacing,Resurfacing project including installation of bike lanes; sidewalk ramps; crosswalk improvements,3.0,Repaving; bike lane; sidewalk; crosswalk,,2023,,,VTrans,Complete Streets: https://app.powerbigov.us/view?r=eyJrIjoiYWRkOTQwZjEtZjFiZi00OGMxLWI2YzYtYmUzYjBjOTRhNjQ4IiwidCI6IjIwYjQ5MzNiLWJhYWQtNDMzYy05YzAyLTcwZWRjYzc1NTljNiJ9&pageName=ReportSection,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19V439,,,
Chittenden,Charlotte,212 Ferry Rd; Charlotte; VT 05445,Ferry Road between Route 7 and Greenbush Road,Flashing beacons installed on improved existing crosswalk and second crosswalk created between Senior Center and post office.,,Beacon; crosswalk,America Walks; Climate Catalyst; Library accessibility grant,2025,$9;000,,,America Walks grant; Library accessibility grant; Climate Catalysts grant; municipal funding; donated labor,,,-73.2516225,44.3111285
Chittenden,Colchester,430 Main St; Colchester; VT 05446,Main Street ,Sidewalk and beacons at crosswalks,,Beacon; sidewalk,BP,,,,,,,,-73.1575613,44.5473436
Chittenden,Colchester,1672 W Lakeshore Dr; Colchester; VT 05446,West Lakeshore Drive; from Church Road to Prim Road,4;435 feet of 10' wide separated multi-use path ,3.0,Multi-use,BP; TAP,2019,$1;069;000,$897;960 in fed and state grants; inc BP and TAP,,,,,-73.2455673,44.5523949
Chittenden,Colchester-Essex ,424-420 VT-15; Colchester; VT 05446,VT Route 15 from Lime Kiln Rd to Susie Wilson Rd,1.6 miles of 10' wide; paved; separated multi-use path; including new crosswalk near St. Michael's College,3.0,Multi-use; crosswalk,BP,2022,$1;613;885,,VTrans,https://vtrans.vermont.gov/projects/essex-colchester-path,https://vtrans.vermont.gov/sites/aot/files/portal/documents/aboutus/capprog/22a/5GBIKEandPEDESTRIANFACILITIES.pdf,,,
Chittenden,Colchester-South Hero,781 Blakely Rd; Colchester; VT 05446,Causeway,Repairs on the causeway,3.0,Multi-use; Rec trail,BP,2020,$1.8 million,$1.8 m in federal & state; inc BP,Town of Colchester,https://www.instagram.com/p/CDPAxsHHWo2/,,,-73.2059991,44.5364838
Chittenden,Essex,120-50 Orleans Rd; Essex Junction; VT 05452,Orleans Road; from VT15 to end,8-ft-wide asphalt shared use path,,Multi-use,,2024,,,,,,,,
Chittenden,Essex,1 Browns River Rd; Essex Junction; VT 05452,Jericho Road; from Browns River Rd to Library,Sidewalk,,Sidewalk,,2025,,,,Maybe related? https://www.sevendaysvt.com/legal-notices/town-of-essexfy-2025-ada-compliant-sidewalk-ramps-42816905 ,,,,
Chittenden,Essex ,70-56 Pinecrest Dr; Essex Junction; VT 05452,Pinecrest Dr; VT-2A to Suffolk Lane,Sidewalk,1.0,Sidewalk,TAP,2020,$357;770,TAP 2015 ($286;218) + BP 2020 ($86;280),,,,,,
Chittenden,Essex ,87 Towers Rd; Essex Junction; VT 05452,Towers Road,Sidewalk,1.0,Sidewalk,BP,2019,$114;500,BP 2019 ($91;600),,,,,,
Chittenden,Essex Junction,34 Park St; Essex Junction; VT 05452,Park Street to Maple Street and Railroad Street,Crescent Connector Phase II: federally-funded project to bypass 5 Corners; inc painted 4-ft bike lanes; extended bike lanes on Maple St; 2 new signalized pedestrian crossings; and new at-grade rail crossing for all road users,3.0,Bike lane; crosswalk,,2024,,,City of Essex Junction,https://www.essexjunction.org/departments/community-development/projects,,,-73.1121965,44.4884378
