COUNTY,LAT,LON,MUNICIPALITY (alphabetical by county),ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT FOR TEXT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available, list grant name + year(s) awarded + amount)",PROJECT AGENCY OR GROUP (where available),"RELEVANT LINKS, FACT SHEETS (list all in subsequent columns)",X.1,walk_score,walk_description
Addison,44.05737625491821,-73.140880910925,Bristol,"1 Main St, Bristol, VT 05443",Main Street/VT 116,"New sidewalk on east side, curb on west side. Upgraded lighting. Realized concurrent with repaving project",1,2020,"$327,159","DTF 2018 ($100,000)",Bristol CORE,https://bristolvt.org/paving-lighting-sidewalk-project/?fbclid=IwZXh0bgNhZW0CMTAAAR1y70Fz1TI489KUp5zLmJXZqncggHTQ5wcbpjWzbAqwus6AZlKOGLaQDpQ_aem_JghaTUd-1-xccx4LH8q7KA,https://resources.vtrans.vermont.gov/factsheet/default.aspx?pin=18V187,0,not found
Addison,44.05737625491821,-73.140880910925,Middlebury,"20 VT-30, Middlebury, VT 05753",Printers Alley,Sidewalk connectivity between Main Street and Marble Works,1,2021,,,VTrans,,,0,not found
Addison,44.05737625491821,-73.140880910925,Middlebury,"141 Weybridge St, Middlebury, VT 05753",Seymour St. & Webridge St.,Installation of flashing beacons,1,2019,,,ACRPC,,,0,not found
Addison ,44.0285618,-73.1491036,Middlebury,"101 Seymour St, Middlebury, VT 05753",Seymour St.,Sidewalk realignment and extension,1,2021,,,VTrans,,,1,Car-Dependent
Addison,44.05737625491821,-73.140880910925,Middlebury-Weybridge,,Seymour St.,sidewalk,1,2020,"$735,455",TKTK,ACRPC,,,0,not found
Addison,44.05737625491821,-73.140880910925,Vergennes,"210 Main St, Vergennes, VT 05491",Main Street/VT 22A,"Sidewalk extension, new sidewalks and crosswalks",1,2023,"$446,220","BP 2019 ($202,000)",ACRPC,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=19F452,,0,not found
Addison ,44.0285618,-73.1491036,Vergennes,"179 Main St, Vergennes, VT 05491",Triangle Bike Loop,"Triangle Bike Loop wayfinding signs, part of multi-town bike route using local roads",2,2024,"$23,393","BP 2022 ($11,152)","ACRPC, Local group: Walk-Bike Council of Addison County",https://www.walkbikeaddison.org/triangle_bike_loop,,1,Car-Dependent
Bennington,42.903147,-73.207031,Bennington,"Applegate Housing Inc, 87 Applegate Dr, Bennington, VT 05201",Willowbrook Apartments to Applegate Apartments,"ADA-compliant path connecting Willowbrook + Applegate apartment complexes, allowing pedestrian connection to schools & commercial corridor",3,2021,,STP BP(14)10 & TAP TA17(10),,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,,31,Car-Dependent
Bennington,42.8779774,-73.1994478,Bennington,"128 Franklin Ln, Bennington, VT 05201",Franklin Lane,"Street redesign to calm traffic, make more pedestrian friendly, inc a curved driving surface, planters, proximity to pedestrians",1,2022,"$126,000","DTF 2020 ($50,000)",,,,81,Very Walkable
Bennington,43.1724864,-73.0447906,Manchester,"691 Depot St, Manchester Center, VT 05255",Depot Street,"Reconfiguring street, including new bike lane",2,2019,,,,,,57,Somewhat Walkable
Bennington,43.1645751,-73.0797475,Manchester,"57 Seminary Ave, Manchester, VT 05254",Burr and Burton Academy,Sidewalk project,1,2023,,,,,,42,Car-Dependent
Bennington,43.245305,-73.239421,Rupert,"2824 VT-153, West Rupert, VT 05776",,"Revitalization project, including improving walkability",1,,,,,https://centralvtplanning.org/wp-content/uploads/2021/05/VTPlannersAssoc_2021Awards_PressRelease.pdf,,6,Car-Dependent
Bennington,43.097918,-73.200412,Sunderland,"104 Mountain View Rd, Sunderland, VT 05250","Sunderland Hill Rd, from Dunham Rd to Town Office building","Bike/pedestrian lane on steep, winding road",3,2020,"$62,000","BP 2018 ($31,000)",Sunderland Safe Roads Committee,https://sunderlandvt.org/town-government/safe-roads/,,8,Car-Dependent
Bennington,42.8976921,-73.2035259,Bennington,"23 Orchard Rd, Bennington, VT 05201",From Depot St to Emma Street,"Bennington Rail Trail: multi-use path paved from parking area on Depot Street to intersection with Orchard Road, packed gravel surface path to Emma Street",3,2022,,,,,,53,Somewhat Walkable
Bennington,42.8939634,-73.1936358,Bennington,"10 Kocher Dr, Bennington, VT 05201",Kocher Drive and East Road,"Willow Park Paths: multi-use path from Aldi/CVS plaza connecting to East Road path, inc new crosswalk",3,2020,,,,https://benningtonvt.org/services/planning___permitting/planning_commission/pathway_naming_committee.php,,37,Car-Dependent
Caledonia,44.5884297,-71.9414088,Burke,"638 VT-114, East Burke, VT 05832","VT 114, East Burke village","modern, 5 foot wide concrete sidewalks",1,2019,,,Town of Burke,https://nvda.net/files/rfp_burke.pdf,,42,Car-Dependent
Caledonia,44.4096005,-72.1963356,"Cabot, Walden, Hardwick, Stannard, Greensboro","97 VT-15, West Danville, VT 05873",between West Danville and Morrisville ,"Lamoille Valley Rail Trail: between West Danville and Morrisville, adding to earlier sections",3,2021,VTrans,,,,,18,Car-Dependent
