"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/50001960100","","Census Tract 9601, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3965,"Total population"
"geoId/50001960200","","Census Tract 9602, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2653,"Total population"
"geoId/50001960300","","Census Tract 9603, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2571,"Total population"
"geoId/50001960400","","Census Tract 9604, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4904,"Total population"
"geoId/50001960500","","Census Tract 9605, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3759,"Total population"
"geoId/50001960600","","Census Tract 9606, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2832,"Total population"
"geoId/50001960700","","Census Tract 9607, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4077,"Total population"
"geoId/50001960800","","Census Tract 9608, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5080,"Total population"
"geoId/50001960900","","Census Tract 9609, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5345,"Total population"
"geoId/50001961000","","Census Tract 9610, Addison County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2311,"Total population"
"geoId/50003970401","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2472,"Total population"
"geoId/50003970402","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2011,"Total population"
"geoId/50003970500","","Census Tract 9705, Bennington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1440,"Total population"
"geoId/50003970601","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2120,"Total population"
"geoId/50003970800","","Census Tract 9708, Bennington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3599,"Total population"
"geoId/50003970900","","Census Tract 9709, Bennington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2355,"Total population"
"geoId/50003971000","","Census Tract 9710, Bennington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3248,"Total population"
"geoId/50003971100","","Census Tract 9711, Bennington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4741,"Total population"
"geoId/50003971200","","Census Tract 9712, Bennington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4969,"Total population"
"geoId/50003971300","","Census Tract 9713, Bennington County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3265,"Total population"
"geoId/50003971400","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2547,"Total population"
"geoId/50003971600","","","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4545,"Total population"
"geoId/50005957000","","Census Tract 9570, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4076,"Total population"
"geoId/50005957100","","Census Tract 9571, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2066,"Total population"
"geoId/50005957200","","Census Tract 9572, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2483,"Total population"
"geoId/50005957300","","Census Tract 9573, Caledonia County, Vermont","Count_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3070,"Total population"
